model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,family_id,pc_standardized_distance,nearest_family
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,3.98205683772,False
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,2.33871378101,False
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,4.49306204747,False
qwen,Qwen 3 32B,12,8,H08_B,2247,0.158172603125,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,10.0150244216,False
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,9.71463591579,False
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,8.4386454708,False
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,7.86124638106,False
qwen,Qwen 3 32B,12,8,H08_C,2489,0.175207658736,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,4.41315532811,False
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,5.52456329314,False
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,3.12125815244,False
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,3.83366481683,False
qwen,Qwen 3 32B,12,8,H08_D,1880,0.132338448543,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,17.569956701,False
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,16.9628593751,False
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,16.5802956404,False
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,15.0088588327,False
qwen,Qwen 3 32B,12,8,H08_E,1945,0.136913980008,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,12.1172283863,False
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,11.3577138595,False
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,11.040145788,False
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,9.55245810459,False
qwen,Qwen 3 32B,12,8,H08_F,1206,0.0848937068844,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,3.1829056157,False
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,5.36266440517,False
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,5.31759417146,False
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,4.59304271327,False
qwen,Qwen 3 32B,12,8,H08_G,1237,0.0870758834295,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,20.3564761939,False
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,19.1392614304,False
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,18.9477189645,False
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,17.8630428222,False
qwen,Qwen 3 32B,12,8,H08_H,1936,0.136280444882,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,7.27331288147,False
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,8.34151653194,False
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,8.27445480445,False
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,5.95276361193,False
qwen,Qwen 3 32B,12,9,H09_A,1172,0.082500351964,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,2.17305295921,False
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,3.60839727023,False
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,2.02691527543,False
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,4.07395857608,False
qwen,Qwen 3 32B,12,9,H09_B,2017,0.141982261016,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,14.763509639,False
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,14.0853637228,False
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,13.8254656668,False
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,12.1823968778,False
qwen,Qwen 3 32B,12,9,H09_C,1523,0.107208221878,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,6.44108528205,False
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,7.23539451612,False
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,4.77754265858,False
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,5.75608880452,False
qwen,Qwen 3 32B,12,9,H09_D,1847,0.130015486414,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,5.41872732893,False
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,7.35799339762,False
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,7.2389316022,False
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,7.86756259315,False
qwen,Qwen 3 32B,12,9,H09_E,1218,0.0857384203858,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_A,16.5217659316,False
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_B,15.7742048829,False
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_C,14.9077013762,False
qwen,Qwen 3 32B,12,9,H09_F,2508,0.17654512178,False,low,DIAGNOSTIC_INELIGIBLE_K9,USABLE,MFamily_D,14.1937690384,False
