replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
28,0.46072823408757124,0.5959968398679065,0.1866615773158089,0.7319404692077816,0.4611636240599416,0.5957561973372761,0.00043538997237035915
29,0.4218775815991196,0.6080792835853215,0.1702038574710505,0.7285108231684333,0.4241415738118115,0.6068874622864229,0.002263992212691912
30,0.4182412902546443,0.6265990754310233,0.23735760601917133,0.7174287465510992,0.4416429804693002,0.6138670077926621,0.02340169021465588
31,0.41780606187078584,0.6326434875185033,0.17171583502037524,0.7545966649913154,0.4222224175256968,0.6302393939404732,0.004416355654910942
32,0.4998012595592767,0.5808273319678229,0.24436943887300855,0.7138886957642682,0.5031213115489355,0.5788965119449453,0.00332005198965879
33,0.4730379257265578,0.5949487497130084,0.23604844584033569,0.7163459099628533,0.48809113941798643,0.5863895195268288,0.015053213691428646
34,0.4148662830104298,0.6221744236835554,0.20386151612424708,0.7257363912885295,0.42537272562545014,0.6165633561746017,0.010506442615020317
35,0.42935613546535933,0.6051678425174651,0.23770983188456873,0.6994447672901929,0.4402551210855067,0.5993607936208348,0.01089898562014735
36,0.4490171799547701,0.5928395549157401,0.2303108293029955,0.700689858753165,0.4720028314655894,0.5803419178140891,0.022985651510819327
37,0.4743428771916087,0.5807489981045278,0.21797383077609578,0.7083498977694412,0.46785414294810646,0.584322399737847,-0.00648873424350227
38,0.40021331834266927,0.6515750656042026,0.18112787985623813,0.7613320100300183,0.4122926439208835,0.64498053883969,0.012079325578214228
39,0.475819739798632,0.6079959631378485,0.24097427076688904,0.7316251287699869,0.4841269208932052,0.6031589785681194,0.00830718109457318
40,0.457570513561656,0.6078269823156562,0.23323347748246115,0.722669792753796,0.46331610798167955,0.6045992590027418,0.0057455944200235365
41,0.43227418108050886,0.6133631247327223,0.1481966185932495,0.7513080114628573,0.42688342871373053,0.6162682917948383,-0.005390752366778329
42,0.40327687303536297,0.6019771806467321,0.19963404593941425,0.6971687256498992,0.4143084332344029,0.5963868775977755,0.011031560199039947
43,0.4722198016508182,0.6081203738517257,0.1817151078299628,0.7572081405357841,0.48247081045263185,0.6021856924116081,0.010251008801813621
44,0.4469639789595513,0.5902908907245357,0.21454297416436907,0.7034781066892294,0.46514937387557287,0.5805045471532371,0.018185394916021558
45,0.4395499877038196,0.5992873025513631,0.20541512927221706,0.7135703242636036,0.42924168131306195,0.6047735092485165,-0.010308306390757638
