family,target,baseline_r2,candidate_r2,delta_r2
QB6:QB6:ES,BFAS:BFAS:O:O,0.10948438645703873,0.10881068356579426,-0.0006737028912444654
QB6:QB6:ES,EPQr:EPQ:E,0.27248820570127386,0.27288303995583807,0.0003948342545642136
QB6:QB6:ES,EPQr:EPQ:P,0.10918889288382172,0.10890567928461958,-0.00028321359920213673
QB6:QB6:ES,HEXACO:H:A:FL,0.1375707921994529,0.14105753599933557,0.0034867437998826745
QB6:QB6:ES,HEXACO:H:A:FO,0.13812147068819935,0.13658759908407014,-0.001533871604129211
QB6:QB6:ES,HEXACO:H:A:G,0.17446791762969982,0.1753331413979048,0.0008652237682049702
QB6:QB6:ES,HEXACO:H:A:P,0.27481013792268094,0.27424959520090575,-0.0005605427217751924
QB6:QB6:ES,HEXACO:H:C:D,0.2785292149075048,0.277822723941088,-0.0007064909664168395
QB6:QB6:ES,HEXACO:H:C:O,0.22200936290656825,0.22181868784256176,-0.0001906750640064958
QB6:QB6:ES,HEXACO:H:C:PE,0.12335784611714795,0.12364642941493542,0.00028858329778747027
QB6:QB6:ES,HEXACO:H:C:PR,0.18559993815070053,0.18492806618129154,-0.0006718719694089881
QB6:QB6:ES,HEXACO:H:E:D,0.13759616213087955,0.14114897079838296,0.0035528086675034043
QB6:QB6:ES,HEXACO:H:E:F,0.10693958776230739,0.10739839343130542,0.0004588056689980302
QB6:QB6:ES,HEXACO:H:E:S,0.19663638411585616,0.19808685411872906,0.0014504700028729056
QB6:QB6:ES,HEXACO:H:H:F,0.13801501008215,0.1379696685927264,-4.534148942358929e-05
QB6:QB6:ES,HEXACO:H:H:GA,0.05288074217532435,0.05332776627038549,0.0004470240950611437
QB6:QB6:ES,HEXACO:H:H:M,0.11358513195139752,0.11359253639590838,7.404444510861197e-06
QB6:QB6:ES,HEXACO:H:H:S,0.07720717783885434,0.07699179626994102,-0.00021538156891331983
QB6:QB6:ES,HEXACO:H:O:A,0.10231261577220807,0.10158395412115362,-0.0007286616510544519
QB6:QB6:ES,HEXACO:H:O:C,0.06243052515054093,0.06384379305311039,0.0014132679025694594
QB6:QB6:ES,HEXACO:H:O:I,0.0921713710608858,0.09208809472819379,-8.327633269200607e-05
QB6:QB6:ES,HEXACO:H:O:U,0.1311470239614887,0.13132276555448041,0.00017574159299171832
QB6:QB6:ES,HEXACO:H:X:E,0.1929985413918902,0.19295091951846544,-4.762187342477464e-05
QB6:QB6:ES,HEXACO:H:X:S,0.31083340722293984,0.3106347563811751,-0.0001986508417647359
QB6:QB6:ES,HEXACO:H:X:SB,0.257907519208754,0.2573898766255508,-0.0005176425832031928
QB6:QB6:ES,IPIPneo:A1:TR,0.26263970873438724,0.26144513508970635,-0.0011945736446808963
QB6:QB6:ES,IPIPneo:A2:MO,0.10686654091490899,0.10632680795787908,-0.0005397329570299148
QB6:QB6:ES,IPIPneo:A3:AL,0.3935126294383855,0.3930206402060097,-0.0004919892323758113
QB6:QB6:ES,IPIPneo:A4:CO,0.13799348409540024,0.13731490925194956,-0.0006785748434506855
QB6:QB6:ES,IPIPneo:A5:MO,0.14180637331319323,0.1408780780107105,-0.000928295302482729
