model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,10,11,3027102,20,4127206,0.6648878029386324,0.6965971342375002
qwen,10,12,3027103,20,4127310,0.6651754210693854,0.7386406675937903
qwen,10,13,3027104,20,4127392,0.6676938349849914,0.7458982240295834
qwen,10,14,3027105,20,4127501,0.39675384438722605,0.5922794440961918
qwen,10,15,3027106,20,4127602,0.6273031813746971,0.692498775981066
qwen,10,16,3027107,20,4127708,0.49733441197382233,0.6795444693957489
qwen,10,17,3027108,20,4127800,0.5937420556558911,0.6943473363996747
qwen,10,18,3027109,20,4127903,0.5806371854103388,0.7351951423698971
qwen,10,19,3027110,20,4127995,0.7036118151473596,0.6935803808759512
qwen,10,20,3027111,20,4128095,0.49602340915385196,0.6802310086145961
qwen,10,21,3027112,20,4128211,0.6340553977272727,0.6740054425584076
qwen,10,22,3027113,20,4128304,0.4756674120900083,0.6695133461347714
qwen,10,23,3027114,20,4128405,0.7689621390218672,0.7760870423698514
qwen,10,24,3027115,20,4128495,0.49751123881343606,0.6741586079219153
qwen,10,25,3027116,20,4128611,0.5169417025190388,0.6699950671271038
qwen,10,26,3027117,20,4128702,0.5163794542314234,0.6710552435844964
qwen,10,27,3027118,20,4128806,0.5404033879395591,0.6741416332692564
qwen,10,28,3027119,20,4128910,0.4661045936966209,0.6651939254367691
qwen,10,29,3027120,20,4128995,0.6672720116367623,0.7287374871203657
qwen,10,30,3027121,20,4129098,0.6367264238206405,0.6990312460677321
qwen,10,31,3027122,20,4129201,0.4720735864061568,0.6306206096047171
qwen,10,32,3027123,20,4129308,0.6567040447198073,0.7143581126234019
qwen,10,33,3027124,20,4129406,0.739492384177454,0.7792282628439624
qwen,10,34,3027125,20,4129495,0.7532096032109362,0.7727640986374065
qwen,10,35,3027126,20,4129596,0.44608089778357907,0.6298714510537636
qwen,10,36,3027127,20,4129705,0.5198610072875391,0.6867982652957408
qwen,10,37,3027128,20,4129805,0.4603207656126898,0.6337788023298369
qwen,10,38,3027129,20,4129906,0.7520957844705206,0.7621758531951278
qwen,10,39,3027130,20,4130000,0.7265360577403239,0.7615040494313335
qwen,10,40,3027131,20,4130110,0.6744633559644628,0.7616444951821487
qwen,10,41,3027132,20,4130199,0.5047082509847081,0.656055530558084
qwen,10,42,3027133,20,4130304,0.6312855522332882,0.6897645882581447
qwen,10,43,3027134,20,4130401,0.6397741850366082,0.6801173323102686
qwen,10,44,3027135,20,4130510,0.4881494984951385,0.6712648480226333
qwen,10,45,3027136,20,4130593,0.7129067864325165,0.72061608982698
qwen,10,46,3027137,20,4130693,0.5288546891869071,0.6461660123068164
qwen,10,47,3027138,20,4130811,0.471096237712016,0.6574856498845488
qwen,10,48,3027139,20,4130911,0.71942143327512,0.7398504465430625
qwen,10,49,3027140,20,4131000,0.633581942193028,0.6700256925373133
qwen,10,50,3027141,20,4131104,0.7403614178917559,0.7154666408622363
