model,persona,residual_trait_hifwb_score,within_model_percentile
Qwen,contrarian,-0.30228427210332187,0.36363636363636365
Qwen,coordinator,0.008879455766313998,57.45454545454546
Qwen,coral_reef,0.14926598436015567,86.54545454545455
Qwen,cosmopolitan,-0.08972375055353034,22.545454545454547
Qwen,counselor,-0.08347023346291725,23.272727272727273
Qwen,criminal,-0.24694148772260438,3.272727272727273
Qwen,critic,-0.13001158587612865,14.545454545454545
Qwen,crystalline,0.10659848103279859,82.9090909090909
Qwen,curator,-0.019145747836181292,44.0
Qwen,cyborg,0.0016933446497598241,54.54545454545454
Qwen,cynic,-0.2631891974275412,2.181818181818182
Qwen,daredevil,-0.016622288504274645,45.09090909090909
Qwen,debugger,-0.04482364545704618,36.0
Qwen,demon,0.18653124586907607,90.18181818181819
Qwen,designer,-0.04900591988230035,33.45454545454545
Qwen,destroyer,-0.12453381046686621,16.727272727272727
Qwen,detective,-0.0686548545438149,25.818181818181817
Qwen,devils_advocate,-0.27431572767351536,1.4545454545454546
Qwen,dilettante,-0.18269907871798421,7.636363636363637
Qwen,dispatcher,0.015951910316244367,60.36363636363637
Qwen,divorcee,-0.15684664187131978,9.818181818181818
Qwen,doctor,0.06025235493533215,71.27272727272728
Qwen,dreamer,0.19926367320047275,92.72727272727272
Qwen,echo,0.18102702362417092,89.45454545454545
Qwen,economist,-0.10863952204295159,18.90909090909091
Qwen,ecosystem,-0.008239691353693887,49.09090909090909
Qwen,editor,0.01775876781201258,61.45454545454545
Qwen,egregore,0.08894573838779478,78.54545454545455
Qwen,elder,0.1126248644062048,84.0
Qwen,eldritch,0.21918897601396786,94.18181818181817
Qwen,emissary,-0.011351372172877327,48.0
Qwen,empath,-0.02130181038050844,42.90909090909091
Qwen,engineer,-0.011521352923320629,47.27272727272727
Qwen,entrepreneur,-0.1254857874798086,16.363636363636363
Qwen,evaluator,0.012598456793369293,59.27272727272728
Qwen,evangelist,0.2546281192071693,97.0909090909091
Qwen,examiner,0.07119095894231109,75.27272727272727
Qwen,exile,0.09383551586684426,81.0909090909091
Qwen,expatriate,-0.1880729633847255,6.909090909090909
Qwen,facilitator,-0.0573412353109925,30.181818181818183
Qwen,familiar,0.22642586144136664,95.63636363636364
Qwen,fixer,-0.20967803617449604,4.363636363636364
Qwen,flaneur,-0.125850151794512,16.0
Qwen,fool,0.014164942746936639,60.0
Qwen,forecaster,-0.11843438256644934,17.454545454545457
Qwen,futurist,-0.10769310017310965,19.272727272727273
Qwen,gamer,-0.03924864087982347,37.09090909090909
Qwen,generalist,-0.058012679594894284,29.818181818181817
Qwen,genie,0.12247081011406534,84.36363636363636
Qwen,geographer,-0.07158843220174656,25.454545454545453
Qwen,ghost,0.16906443116796588,88.72727272727273
Qwen,golem,0.26050337468273216,97.45454545454545
Qwen,gossip,-0.057216485684687256,30.545454545454547
Qwen,grader,0.08929433308975386,78.9090909090909
Qwen,graduate,-0.20455621416439948,5.454545454545454
Qwen,grandparent,0.09559139863040055,81.45454545454545
Qwen,guardian,0.09057784015561733,79.63636363636364
Qwen,guide,-0.03824630508462601,37.45454545454546
Qwen,guru,0.1427199608629619,85.45454545454545
Qwen,hacker,-0.21384585327211533,4.0
Qwen,healer,0.06877683391112435,74.54545454545455
Qwen,hedonist,-0.03340821829559937,38.90909090909091
Qwen,hermit,0.06863015704656256,74.18181818181819
Qwen,historian,-0.015979224331865455,45.45454545454545
