lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
9,10,H09_D,H10_H,0.3274285989843117,0.9100544656584765,False,False,False
9,10,H09_D,H10_I,0.19909046890002657,0.7490313938871641,False,False,False
9,10,H09_D,H10_J,0.26477095600324607,0.4638914010670547,False,False,False
9,10,H09_E,H10_A,0.31532885487798146,0.8093180760199614,False,False,False
9,10,H09_E,H10_B,0.41902429721520296,0.3264523690416289,False,False,False
9,10,H09_E,H10_C,0.2722193191972495,0.8777135021870948,False,False,False
9,10,H09_E,H10_D,0.4402418357006379,0.9200653298856662,False,False,False
9,10,H09_E,H10_E,0.11226429741496105,0.9892657457679312,True,True,True
9,10,H09_E,H10_F,0.29834970083622414,0.9246587820842651,False,False,False
9,10,H09_E,H10_G,0.3124241695188776,0.23896660339285747,False,False,False
9,10,H09_E,H10_H,0.17820722278470302,0.8060116628955488,False,False,False
9,10,H09_E,H10_I,0.38178462914232714,0.5950813240812943,False,False,False
9,10,H09_E,H10_J,0.2551591196393451,0.6133354413120753,False,False,False
9,10,H09_F,H10_A,0.20639729392006506,0.7413949941262579,False,False,False
9,10,H09_F,H10_B,0.2236539554871776,0.3928037827234636,False,False,False
9,10,H09_F,H10_C,0.20806707863220522,0.851050176194625,False,False,False
9,10,H09_F,H10_D,0.12204579620895055,0.9565665602634147,True,False,False
9,10,H09_F,H10_E,0.32696121376156984,0.9239136258140185,False,False,False
9,10,H09_F,H10_F,0.14410918893491503,0.9778902314466189,False,False,False
9,10,H09_F,H10_G,0.29717964756192206,0.39958404918736046,False,False,False
9,10,H09_F,H10_H,0.4240869722160861,0.8050556752076007,False,False,False
9,10,H09_F,H10_I,0.1453386278905483,0.8207142438698809,False,True,False
9,10,H09_F,H10_J,0.27892106064188604,0.7590259965831936,False,False,False
9,10,H09_G,H10_A,0.22493660758828776,0.3861794654303541,False,False,False
9,10,H09_G,H10_B,0.15029734394411476,0.8565971136231298,False,True,False
9,10,H09_G,H10_C,0.2445639120398408,0.4890872375285166,False,False,False
9,10,H09_G,H10_D,0.2681380807703777,0.44509418817283813,False,False,False
9,10,H09_G,H10_E,0.3565672900857915,0.14840252325232192,False,False,False
9,10,H09_G,H10_F,0.2729101273704866,0.2559942101945677,False,False,False
9,10,H09_G,H10_G,0.1330759482702116,0.9693330637667755,True,True,True
9,10,H09_G,H10_H,0.3543083976797595,0.6395017251410124,False,False,False
9,10,H09_G,H10_I,0.1500894034644422,0.7939337497343895,False,False,False
9,10,H09_G,H10_J,0.23042322585197972,0.48344766627833363,False,False,False
9,10,H09_H,H10_A,0.29903078200311717,0.506531425606524,False,False,False
9,10,H09_H,H10_B,0.3212234673118066,0.9139054180119754,False,False,False
9,10,H09_H,H10_C,0.2873049368889003,0.5788131818095866,False,False,False
9,10,H09_H,H10_D,0.4097858230690564,0.4903716446109768,False,False,False
9,10,H09_H,H10_E,0.2859718834025623,0.21246817269639526,False,False,False
9,10,H09_H,H10_F,0.3371599971516738,0.24460970601693255,False,False,False
9,10,H09_H,H10_G,0.15101991408399282,0.9639554805812007,True,False,False
9,10,H09_H,H10_H,0.16240807491915077,0.7508238783368842,False,True,False
9,10,H09_H,H10_I,0.31470604775813454,0.7075338163605013,False,False,False
9,10,H09_H,H10_J,0.21586807478673853,0.44145757723706885,False,False,False
9,10,H09_I,H10_A,0.22417008490379878,0.6286880585806123,False,False,False
9,10,H09_I,H10_B,0.2995667297451515,0.28379007786554694,False,False,False
9,10,H09_I,H10_C,0.22710436091396563,0.6658880046718875,False,False,False
9,10,H09_I,H10_D,0.3169164342291581,0.8181829721760631,False,False,False
9,10,H09_I,H10_E,0.1983433618063573,0.8115496269590802,False,False,False
9,10,H09_I,H10_F,0.16827149053260057,0.9258231442588535,False,False,False
9,10,H09_I,H10_G,0.2188999810642399,0.37270814732171526,False,False,False
9,10,H09_I,H10_H,0.2748030921045982,0.7025163660364471,False,False,False
9,10,H09_I,H10_I,0.21708741380787097,0.848126376710493,False,False,False
9,10,H09_I,H10_J,0.11476566644271824,0.8845568124942624,True,True,True
