model,persona,direct_trait_hifwb_score,within_model_percentile
Qwen,minimalist,0.3858674502484212,89.0909090909091
Qwen,moderator,0.35666339594757657,84.72727272727273
Qwen,musician,0.359703851106896,85.45454545454545
Qwen,mycorrhizal,0.2571721137071141,74.18181818181819
Qwen,mystic,0.5038677954284096,95.27272727272728
Qwen,narcissist,-0.9234514510412875,2.909090909090909
Qwen,narrator,-0.002313926196423013,37.81818181818182
Qwen,naturalist,0.31628700670882287,81.45454545454545
Qwen,navigator,0.28675383214176864,78.18181818181819
Qwen,negotiator,0.2794536761872821,77.45454545454545
Qwen,networker,0.49751941004038835,94.18181818181817
Qwen,newlywed,0.3845682174507096,88.72727272727273
Qwen,nomad,0.10622500940680092,54.18181818181819
Qwen,novelist,-0.14936748362370247,25.454545454545453
Qwen,nutritionist,0.4084571728550978,90.54545454545455
Qwen,observer,0.03618892325360195,44.0
Qwen,optimist,0.7902597511471471,100.0
Qwen,oracle,0.15431313775061217,60.72727272727273
Qwen,organizer,0.26054077990372837,75.27272727272727
Qwen,orphan,-0.2036002748108921,23.272727272727273
Qwen,pacifist,0.6329719597614448,98.54545454545455
Qwen,paramedic,0.11963787331584057,56.00000000000001
Qwen,parasite,-0.5491631502669773,12.363636363636363
Qwen,parent,0.3963511806291991,89.45454545454545
Qwen,patient,0.06432194107974391,48.72727272727273
Qwen,peacekeeper,0.47806255458316727,93.45454545454545
Qwen,perfectionist,-0.12966125974041143,25.818181818181817
Qwen,pharmacist,0.23712970654884002,71.63636363636363
Qwen,philosopher,-0.006483817103740716,37.45454545454546
Qwen,photographer,0.20839068137137381,67.27272727272727
Qwen,physicist,0.008245637146545956,38.54545454545455
Qwen,pilgrim,0.5945633772089517,97.45454545454545
Qwen,pilot,0.0889787169563292,52.36363636363637
Qwen,pirate,-0.5850862427891456,10.909090909090908
Qwen,planner,0.23519698444558215,70.9090909090909
Qwen,playwright,-0.09629339221955222,28.363636363636363
Qwen,podcaster,0.07480419165986013,49.45454545454545
Qwen,poet,0.03883022563086109,44.36363636363637
Qwen,polymath,0.13347520843938715,58.54545454545455
Qwen,pragmatist,-0.08786653828853064,28.72727272727273
Qwen,predator,-0.41766592513691075,17.454545454545457
Qwen,presenter,0.3609717539640664,85.81818181818181
Qwen,prey,-0.3988450594206587,17.81818181818182
Qwen,prisoner,-0.6389744027257808,10.181818181818182
Qwen,procrastinator,-1.084518156507207,1.4545454545454546
Qwen,prodigy,0.040447369794678896,44.72727272727273
Qwen,producer,0.21183859643816905,68.36363636363636
